country,alert_type,message
Afghanistan,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Albania,THRESHOLD_BREACH,Risk crossed threshold (70.0)
American Samoa,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Antarctica,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Argentina,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Armenia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Azerbaijan,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Bahamas,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Belarus,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Belgium,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Brazil,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Cambodia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Canada,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Chad,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Chile,THRESHOLD_BREACH,Risk crossed threshold (70.0)
China,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Colombia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Congo,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Cuba,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Cyprus,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Denmark,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Dominica,THRESHOLD_BREACH,Risk crossed threshold (70.0)
El Salvador,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Estonia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Ethiopia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Fiji,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Greenland,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Guam,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Guatemala,THRESHOLD_BREACH,Risk crossed threshold (70.0)
India,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Indonesia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Iraq,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Ireland,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Israel,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Italy,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Japan,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Jersey,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Jordan,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Kenya,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Kuwait,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Lebanon,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Luxembourg,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Malaysia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Marshall Islands,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Myanmar,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Netherlands,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Nicaragua,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Niger,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Norway,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Oman,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Pakistan,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Panama,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Peru,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Philippines,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Poland,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Puerto Rico,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Qatar,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Saudi Arabia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Singapore,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Slovenia,THRESHOLD_BREACH,Risk crossed threshold (70.0)
South Africa,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Sri Lanka,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Uganda,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Ukraine,THRESHOLD_BREACH,Risk crossed threshold (70.0)
United Arab Emirates,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Yemen,THRESHOLD_BREACH,Risk crossed threshold (70.0)
Zimbabwe,THRESHOLD_BREACH,Risk crossed threshold (70.0)
