country,trend,latest_risk
Afghanistan,STABLE ➖,70.0
Albania,STABLE ➖,70.0
American Samoa,STABLE ➖,70.0
Antarctica,STABLE ➖,70.0
Argentina,STABLE ➖,70.0
Armenia,STABLE ➖,70.0
Australia,STABLE ➖,15.0
Austria,STABLE ➖,15.0
Azerbaijan,STABLE ➖,70.0
Bahamas,STABLE ➖,70.0
Bahrain,STABLE ➖,15.0
Bangladesh,STABLE ➖,15.0
Belarus,STABLE ➖,70.0
Belgium,STABLE ➖,70.0
Brazil,STABLE ➖,70.0
Cambodia,STABLE ➖,70.0
Canada,STABLE ➖,70.0
Chad,STABLE ➖,70.0
Chile,STABLE ➖,70.0
China,STABLE ➖,70.0
Colombia,STABLE ➖,70.0
Congo,STABLE ➖,70.0
Costa Rica,STABLE ➖,15.0
Cuba,STABLE ➖,70.0
Cyprus,STABLE ➖,70.0
Denmark,STABLE ➖,70.0
Dominica,STABLE ➖,70.0
Ecuador,STABLE ➖,15.0
Egypt,STABLE ➖,15.0
El Salvador,STABLE ➖,70.0
Estonia,STABLE ➖,70.0
Ethiopia,STABLE ➖,70.0
Fiji,STABLE ➖,70.0
France,STABLE ➖,42.5
Georgia,STABLE ➖,15.0
Germany,STABLE ➖,15.0
Greece,STABLE ➖,15.0
Greenland,STABLE ➖,70.0
Guam,STABLE ➖,70.0
Guatemala,STABLE ➖,70.0
Guinea,STABLE ➖,15.0
Haiti,STABLE ➖,15.0
Honduras,STABLE ➖,15.0
Hong Kong,STABLE ➖,15.0
Hungary,STABLE ➖,15.0
India,STABLE ➖,70.0
Indonesia,STABLE ➖,70.0
Iraq,STABLE ➖,70.0
Ireland,STABLE ➖,70.0
Israel,STABLE ➖,70.0
Italy,STABLE ➖,70.0
Japan,STABLE ➖,70.0
Jersey,STABLE ➖,70.0
Jordan,STABLE ➖,70.0
Kenya,STABLE ➖,70.0
Kuwait,STABLE ➖,70.0
Lebanon,STABLE ➖,70.0
Liberia,STABLE ➖,15.0
Libya,STABLE ➖,15.0
Luxembourg,STABLE ➖,70.0
Madagascar,STABLE ➖,15.0
Malaysia,STABLE ➖,70.0
Mali,STABLE ➖,15.0
Marshall Islands,STABLE ➖,70.0
Mexico,STABLE ➖,15.0
Morocco,STABLE ➖,15.0
Myanmar,STABLE ➖,70.0
Netherlands,STABLE ➖,70.0
New Zealand,STABLE ➖,15.0
Nicaragua,STABLE ➖,70.0
Niger,STABLE ➖,70.0
Norway,STABLE ➖,70.0
Oman,STABLE ➖,70.0
Pakistan,STABLE ➖,70.0
Panama,STABLE ➖,70.0
Peru,STABLE ➖,70.0
Philippines,STABLE ➖,70.0
Pitcairn,STABLE ➖,42.5
Poland,STABLE ➖,70.0
Puerto Rico,STABLE ➖,70.0
Qatar,STABLE ➖,70.0
Rwanda,STABLE ➖,15.0
Saudi Arabia,STABLE ➖,70.0
Singapore,STABLE ➖,70.0
Slovenia,STABLE ➖,70.0
South Africa,STABLE ➖,70.0
Spain,STABLE ➖,15.0
Sri Lanka,STABLE ➖,70.0
Sweden,STABLE ➖,15.0
Switzerland,STABLE ➖,15.0
Thailand,STABLE ➖,15.0
Uganda,STABLE ➖,70.0
Ukraine,STABLE ➖,70.0
United Arab Emirates,STABLE ➖,70.0
United Kingdom,STABLE ➖,15.0
United States,STABLE ➖,15.0
Yemen,STABLE ➖,70.0
Zimbabwe,STABLE ➖,70.0
